Onderwyzende	VRB(finiteness=prespart)	onderwijzen	
Hoe	ADV(type=reg)	hoe	
men	PD(type=pers,position=free)	men	
allerhande	PD(type=indef,subtype=oth,position=prenom)	allerhande	
Spyzen	NOU-C(number=pl)	spijs	
,	PC	,	
Confituren	NOU-C(number=pl)	confituur	
en	CONJ(type=coor)	en	
Nagerechten	NOU-C(number=pl)	nagerecht	
,	PC	,	
zonder	ADP(type=pre)	zonder	
ongemeene	AA(degree=pos,position=prenom)	ongemeen	
kosten	NOU-C(number=pl)	kost	
,	PC	,	
zelfs	ADV(type=reg)	zelfs	
voor	ADP(type=pre)	voor	
de	PD(type=d-p,subtype=art,position=prenom)	de	
Roomsgezinden	NOU-C(number=pl)	roomsgezinde	
op	ADP(type=pre)	op	
Visdagen	NOU-C(number=pl)	visdag	
en	CONJ(type=coor)	en	
in	ADP(type=pre)	in	
de	PD(type=d-p,subtype=art,position=prenom)	de	
Vasten	NOU-C(number=sg)	vasten	
,	PC	,	
gezond	AA(degree=pos,position=free)	gezond	
en	CONJ(type=coor)	en	
smakelyk	AA(degree=pos,position=free)	smakelijk	
kan	VRB(finiteness=fin,tense=pres)	kunnen	
toebereiden	VRB(finiteness=inf)	toebereiden	
:	PC	:	
Hoe	ADV(type=reg)	hoe	
men	PD(type=pers,position=free)	men	
alles	PD(type=indef,position=free)	alles	
tegen	ADP(type=pre)	tegen	
de	PD(type=d-p,subtype=art,position=prenom)	de	
winter	NOU-C(number=sg)	winter	
inlegt	VRB(finiteness=fin,tense=pres)	inleggen	
.	PC	.	

Wat	PD(type=w-p,position=free)	wat	
men	PD(type=pers,position=free)	men	
in	ADP(type=pre)	in	
de	PD(type=d-p,subtype=art,position=prenom)	de	
Slachttyd	NOU-C(number=sg)	slachttijd	
doen	VRB(finiteness=inf)	doen	
moet	VRB(finiteness=fin,tense=pres)	moeten	
:	PC	:	
En	CONJ(type=coor)	en	
hoe	ADV(type=reg)	hoe	
men	PD(type=pers,position=free)	men	
Mol	AA(degree=pos,position=prenom)	mol	
en	CONJ(type=coor)	en	
versch	AA(degree=pos,position=prenom)	vers	
Bier	NOU-C(number=sg)	bier	
des	PD(type=d-p,subtype=art,position=prenom)	de	
zomers	NOU-C(number=sg)	zomer	
goed	VRB(finiteness=inf)	goedhouden	mw_398
kan	VRB(finiteness=fin,tense=pres)	kunnen	
houden	VRB(finiteness=inf)	goedhouden	mw_398
.	PC	.	

Het	PD(type=d-p,subtype=art,position=prenom)	het	
bloedige	NOU-C(number=sg)	bloedige	
van	ADP(type=pre)	van	
de	PD(type=d-p,subtype=art,position=prenom)	de	
hals	NOU-C(number=sg)	hals	
met	ADP(type=pre)	met	
den	PD(type=d-p,subtype=art,position=prenom)	de	
afval	NOU-C(number=sg)	afval	
gebruikt	VRB(finiteness=fin,tense=pres)	gebruiken	
men	PD(type=pers,position=free)	men	
voor	ADP(type=pre)	voor	
Huspot	NOU-C(number=sg)	hutspot	
,	PC	,	
en	CONJ(type=coor)	en	
moet	VRB(finiteness=fin,tense=pres)	moeten	
niet	ADV(type=reg)	niet	
lang	AA(degree=pos,position=free)	lang	
in	ADP(type=pre)	in	
't	PD(type=d-p,subtype=art,position=prenom)	het	
zout	NOU-C(number=sg)	zout	
blyven	VRB(finiteness=inf)	blijven	
leggen	VRB(finiteness=inf)	liggen	
,	PC	,	
een	PD(type=indef,subtype=art,position=prenom)	een	
dag	NOU-C(number=sg)	dag	
of	CONJ(type=coor)	of	
acht	NUM(type=card,position=free,representation=let)	acht	
is	VRB(finiteness=fin,tense=pres)	zijn	
genoeg	PD(type=indef,position=free)	genoeg	
,	PC	,	
om	CONJ(type=sub)	omdat	mw_239
dat	CONJ(type=sub)	omdat	mw_239
het	PD(type=pers,position=free)	het	
anders	ADV(type=reg)	anders	
te	ADV(type=reg)	te	
zout	AA(degree=pos,position=free)	zout	
word	VRB(finiteness=fin,tense=pres)	worden	
.	PC	.	

Indien	CONJ(type=sub)	indien	
men	PD(type=pers,position=free)	men	
geen	PD(type=indef,subtype=oth,position=prenom)	geen	
Kinnebaks-hammen	NOU-C(number=pl)	kinnebaksham	
wil	VRB(finiteness=fin,tense=pres)	willen	
hebben	VRB(finiteness=inf)	hebben	
zo	ADV(type=reg)	zo	
kan	VRB(finiteness=fin,tense=pres)	kunnen	
men	PD(type=pers,position=free)	men	
de	PD(type=d-p,subtype=art,position=prenom)	de	
Varkens	NOU-C(number=sg)	varkenskop	mw_220
kop	NOU-C(number=sg)	varkenskop	mw_220
daar	ADV(type=pron)	daartoe	mw_33
toe	ADV(type=pron)	daartoe	mw_33
gebruiken	VRB(finiteness=inf)	gebruiken	
;	PC	;	
en	CONJ(type=coor)	en	
indien	CONJ(type=sub)	indien	
men	PD(type=pers,position=free)	men	
de	PD(type=d-p,subtype=art,position=prenom)	de	
ooren	NOU-C(number=pl)	oor	
niet	ADV(type=reg)	niet	
tot	ADP(type=pre)	tot	
huspot	NOU-C(number=sg)	hutspot	
wil	VRB(finiteness=fin,tense=pres)	willen	
gebruiken	VRB(finiteness=inf)	gebruiken	
,	PC	,	
zo	ADV(type=reg)	zo	
kapt	VRB(finiteness=fin,tense=pres)	kappen	
men	PD(type=pers,position=free)	men	
die	PD(type=d-p,position=free)	die	
met	ADP(type=pre)	met	
het	PD(type=d-p,subtype=art,position=prenom)	het	
vleesch	NOU-C(number=sg)	vlees	
en	CONJ(type=coor)	en	
het	PD(type=d-p,subtype=art,position=prenom)	het	
zwoord	NOU-C(number=sg)	zwoerd	
,	PC	,	
maar	CONJ(type=coor)	maar	
wat	ADV(type=reg)	wat	
kleinder	AA(degree=comp,position=free)	klein	
als	CONJ(type=sub)	als	
hier	ADV(type=pron)	hierboven	mw_105
boven	ADV(type=pron)	hierboven	mw_105
gezegt	VRB(finiteness=pastpart)	zeggen	
word	VRB(finiteness=fin,tense=pres)	worden	
;	PC	;	
en	CONJ(type=coor)	en	
dan	ADV(type=reg)	dan	
doet	VRB(finiteness=fin,tense=pres)	doen	
men	PD(type=pers,position=free)	men	
alles	PD(type=indef,position=free)	alles	
in	ADP(type=pre)	in	
een	PD(type=indef,subtype=art,position=prenom)	een	
groote	AA(degree=pos,position=prenom)	groot	
doek	NOU-C(number=sg)	doek	
die	PD(type=d-p,position=free)	die	
men	PD(type=pers,position=free)	men	
ter	ADV(type=reg)	terdege	mw_45
deegen	ADV(type=reg)	terdege	mw_45
styf	AA(degree=pos,position=free)	stijf	
toebind	VRB(finiteness=fin,tense=pres)	toebinden	
,	PC	,	
en	CONJ(type=coor)	en	
dan	ADV(type=reg)	dan	
legt	VRB(finiteness=fin,tense=pres)	leggen	
men	PD(type=pers,position=free)	men	
'	PC	'	
er	ADV(type=pron)	erbovenop	mw_106
een	PD(type=indef,subtype=art,position=prenom)	een	
plankje	NOU-C(number=sg)	plankje	
of	CONJ(type=coor)	of	
dekzel	NOU-C(number=sg)	deksel	
boven	ADV(type=pron)	erbovenop	mw_106
op	ADV(type=pron)	erbovenop	mw_106
daar	ADV(type=pron)	daarop	mw_258
men	PD(type=pers,position=free)	men	
een	PD(type=indef,subtype=art,position=prenom)	een	
gewigt	NOU-C(number=sg)	gewicht	
op	ADV(type=pron)	daarop	mw_258
zet	VRB(finiteness=fin,tense=pres)	zetten	
,	PC	,	
en	CONJ(type=coor)	en	
