Wi	PD(type=pers,position=free)	wij	
meynse	NOU-P	Meinse	
aelbrechts	NOU-P	Albrecht	
soen	NOU-C(number=sg)	zoon	
ende	CONJ(type=coor)	en	
phillips	NOU-P	Philips	
jans	NOU-P	Jan	
soen	NOU-C(number=sg)	zoon	
scepen	NOU-C(number=pl)	schepen	
in	ADP(type=pre)	in	
leyden	NOU-P	Leiden	
maken	VRB(finiteness=fin,tense=pres)	maken	
cond	AA(degree=pos,position=free)	kond	
allen	PD(type=indef,subtype=oth,position=prenom)	al	
luden	NOU-C(number=pl)	lieden	
dat	CONJ(type=sub)	dat	
mathijs	NOU-P	Matthijs	
helme	NOU-C(number=sg)	helm	
voir	ADP(type=pre)	voor	
ons	PD(type=pers,position=free)	wij	
quam	VRB(finiteness=fin,tense=past)	komen	
ende	CONJ(type=coor)	en	
gheliede	VRB(finiteness=fin,tense=past)	gelijden	
dat	CONJ(type=sub)	dat	
hi	PD(type=pers,position=free)	hij	
scoudich	AA(degree=pos,position=free)	schuldig	
is	VRB(finiteness=fin,tense=pres)	zijn	
vranken	NOU-P	Frank	
zeverijts	NOU-P	Severijt	
soen	NOU-C(number=sg)	zoon	
vijf	NUM(type=card,position=prenom,representation=let)	vijf	
scellinghe	NOU-C(number=pl)	schelling	
hollants	AA(degree=pos,position=postnom)	Hollands	
vrijs	AA(degree=pos,position=prenom)	vrij	
ghelts	NOU-C(number=sg)	geld	
tsiaers	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	dat+jaar	
vp	ADP(type=pre)	op	
sine	PD(type=poss,position=prenom)	zijn	
husinghe	NOU-C(number=sg)	huizing	
ende	CONJ(type=coor)	en	
erue	NOU-C(number=sg)	erf	
die	PD(type=d-p,position=free)	die	
beleghen	VRB(finiteness=pastpart)	beliggen	
heeft	VRB(finiteness=fin,tense=pres)	hebben	
.	PC	.	
mathijs	NOU-P	Matthijs	
witleken	NOU-P(WF=mis)	Witje	
vp	ADP(type=pre)	op	
die	PD(type=d-p,subtype=art,position=prenom)	de	
ene	NUM(type=card,position=prenom,representation=let)	een	
zide	NOU-C(number=sg)	zijde	
ende	CONJ(type=coor)	en	
roelof	NOU-P	Rudolf	
vake	NOU-P	Vaak	
an	ADP(type=pre)	aan	
