Prologhe	NOU-C(number=sg)	proloog	
.	PC	.	

In	ADP(type=pre)	in	
dit	PD(type=d-p,subtype=oth,position=prenom)	dit	
spel	NOU-C(number=sg)	spel	
zullen	VRB(finiteness=fin,tense=pres)	zullen	
wezen	VRB(finiteness=inf)	wezen	
dry	NUM(type=card,position=prenom,representation=let)	drie	
personagen	NOU-C(number=pl)	personage	
:	PC	:	
De	PD(type=d-p,subtype=art,position=prenom)	de	
Mensche	NOU-P	Mens	
,	PC	,	
Schrifturelic	AA(degree=pos,position=prenom)	Schriftuurlijk	
troost	NOU-C(number=sg)	troost	
,	PC	,	
Hope	NOU-C(number=sg)	hoop	
der	PD(type=d-p,subtype=art,position=prenom)	de	
ghenaden	NOU-C(number=sg)	genade	
.	PC	.	

¶	PC	¶	
De	PD(type=d-p,subtype=art,position=prenom)	de	
Mensche	NOU-P	Mens	
.	PC	.	

Waer	ADV(type=reg)	waar	
zallic	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	zullen+ik	
met	ADP(type=pre)	met	
namen	NOU-C(number=sg)	naam	
een	PD(type=indef,subtype=art,position=prenom)	een	
trooster	NOU-C(number=sg)	trooster	
zoucken	VRB(finiteness=inf)	zoeken	
?	PC	?	

My	PD(type=pers,position=free)	ik	
dijncke	VRB(finiteness=fin,tense=pres)	denken	
dat	CONJ(type=sub)	dat	
ic	PD(type=pers,position=free)	ik	
gheheel	AA(degree=pos,position=free)	geheel	
verlaten	VRB(finiteness=pastpart)	verlaten	
zy	VRB(finiteness=fin,tense=pres)	zijn	
.	PC	.	

Ic	PD(type=pers,position=free)	ik	
ben	VRB(finiteness=fin,tense=pres)	zijn	
simpel	AA(degree=pos,position=free)	simpel	
,	PC	,	
my	PD(type=pers,position=free)	ik	
en	ADV(type=reg)	ne	
helpen	VRB(finiteness=fin,tense=pres)	helpen	
gheen	PD(type=indef,subtype=oth,position=prenom)	geen	
clooster	NOU-C(number=pl)	kloosterboek	673
boucken	NOU-C(number=pl)	kloosterboek	673
,	PC	,	

Noch	CONJ(type=coor)	noch	
libraryen	NOU-C(number=pl)	librarie	
en	ADV(type=reg)	ne	
commen	VRB(finiteness=fin,tense=pres)	komen	
te	ADP(type=pre)	te	
baten	NOU-C(number=sg)	baat	
my	PD(type=pers,position=free)	ik	
.	PC	.	

Ic	PD(type=pers,position=free)	ik	
anmaercke	VRB(finiteness=fin,tense=pres)	aanmerken	
tleven	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	het+leven	
van	ADP(type=pre)	van	
mynen	PD(type=poss,position=prenom)	mijn	
state	NOU-C(number=sg)	staat	
vry	AA(degree=pos,position=free)	vrij	

Ende	CONJ(type=coor)	en	
vinde	VRB(finiteness=fin,tense=pres)	vinden	
my	PD(type=pers,position=free)	ik	
grondeloos	AA(degree=pos,position=free)	grondeloos	
vul	AA(degree=pos,position=free)	vol	
mesdaden	NOU-C(number=pl)	misdaad	
,	PC	,	

Der	PD(type=d-p,subtype=art,position=prenom)	de	
diepte	NOU-C(number=sg)	diepte	
mijns	PD(type=poss,position=prenom)	mijn	
zonden	NOU-C(number=sg)	zonde	
en	CONJ(type=coor)	en	
vindic	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	vinden+ik	
mate	NOU-C(number=sg)	maat	
by	ADV(type=reg)	bij	
.	PC	.	

Dus	ADV(type=reg)	dus	
roupic	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	roepen+ik	
totter	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	tot+de	
diepte	NOU-C(number=sg)	diepte	
Gods	NOU-P	God	
ghenaden	NOU-C(number=sg)	genade	
;	PC	;	

Grooter	AA(degree=comp,position=free)	groot	
es	VRB(finiteness=fin,tense=pres)	zijn	
zijn	PD(type=poss,position=prenom)	zijn	
diepte	NOU-C(number=sg)	diepte	
,	PC	,	
tbermhertigh	PD(type=d-p,subtype=art,position=prenom)+AA(degree=pos,position=prenom)	het+barmhartig	
ontladen	NOU-C(number=sg)	ontladen	
,	PC	,	

Dan	CONJ(type=sub)	dan	
alle	PD(type=indef,position=free)	al	
de	PD(type=d-p,subtype=art,position=prenom)	de	
diepten	NOU-C(number=pl)	diepte	
des	PD(type=d-p,subtype=art,position=prenom)	de	
menschen	NOU-C(number=sg)	mens	
allende	NOU-C(number=sg)	ellende	
.	PC	.	

Schriftuerlic	AA(degree=pos,position=prenom)	Schriftuurlijk	
troost	NOU-C(number=sg)	troost	
.	PC	.	

Ic	PD(type=pers,position=free)	ik	
,	PC	,	
Schriftuerlick	AA(degree=pos,position=prenom)	Schriftuurlijk	
Troost	NOU-C(number=sg)	troost	
,	PC	,	
wille	VRB(finiteness=fin,tense=pres)	willen	
nu	ADV(type=reg)	nu	
gaen	VRB(finiteness=inf)	gaan	
beraden	VRB(finiteness=inf)	beraden	

Den	PD(type=d-p,subtype=art,position=prenom)	de	
Mensche	NOU-P	Mens	
;	PC	;	
duer	ADP(type=pre)	door	
my	PD(type=pers,position=free)	ik	
zien	VRB(finiteness=fin,tense=pres)	zien	
alle	PD(type=indef,position=free)	al	
verblenden	NOU-C(number=pl)	verblinde	
.	PC	.	

Al	CONJ(type=sub)	al	
