
Jaworow	NOU-P	Jaworów	
den	PD(type=d-p,subtype=art,position=prenom)	de	
19	NUM(type=ord,position=prenom,representation=dig)	negentiende	
December	NOU-C(number=sg)	december	
.	PC		

Schoon	CONJ(type=sub)	schoon	
het	PD(type=d-p,subtype=art,position=prenom)	het	
niet	ADV(type=reg)	niet	
houden	NOU-C(number=sg)	houden	
van	ADP(type=pre)	van	
een	PD(type=indef,subtype=art,position=prenom)	een	
Rijcksdagh	NOU-C(number=sg)	rijksdag	
niet	ADV(type=reg)	niet	
geresolveert	VRB(finiteness=pastpart)	resolveren	
is	VRB(finiteness=fin,tense=pres)	zijn	
,	PC		
spreeckt	VRB(finiteness=fin,tense=pres)	spreken	
men	PD(type=pers,position=free)	men	
echter	ADV(type=reg)	echter	
weynig	ADV(type=reg)	weinig	
meer	ADV(type=reg)	meer	
van	ADP(type=pre)	van	
die	PD(type=d-p,subtype=oth,position=prenom)	die	
affaire	NOU-C(number=sg)	affaire	
;	PC		
maer	CONJ(type=coor)	maar	
spargeert	VRB(finiteness=fin,tense=pres)	spargeren	
,	PC		
dat	CONJ(type=sub)	dat	
,	PC		
indien	CONJ(type=sub)	indien	
den	PD(type=d-p,subtype=art,position=prenom)	de	
Staet	NOU-C(number=sg)	staat	
van	ADP(type=pre)	van	
het	PD(type=d-p,subtype=art,position=prenom)	het	
Rijck	NOU-C(number=sg)	rijk	
geoordeelt	VRB(finiteness=pastpart)	oordelen	
mocht	VRB(finiteness=fin,tense=past)	mogen	
werden	VRB(finiteness=inf)	worden	
,	PC		
deselve	PD(type=d-p,position=free)	dezelve	
te	ADP(type=pre)	te	
indigeren	VRB(finiteness=inf)	indigeren	
,	PC		
den	PD(type=d-p,subtype=art,position=prenom)	de	
Coningh	NOU-C(number=sg)	koning	
de	PD(type=d-p,subtype=art,position=prenom)	de	
Magnaten	NOU-C(number=pl)	magnaat	
ten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	te+het	
dien	PD(type=d-p,subtype=oth,position=prenom)	die	
eynde	NOU-C(number=sg)	einde	
tegen	ADP(type=pre)	tegen	
de	PD(type=d-p,subtype=art,position=prenom)	de	
Maent	NOU-C(number=sg)	maand	
Maert	NOU-C(number=sg)	maart	
te	ADP(type=pre)	te	
Warschau	NOU-P	Warschau	
sal	VRB(finiteness=fin,tense=pres)	zullen	
convoceren	VRB(finiteness=inf)	convoceren	
ende	CONJ(type=coor)	en	
de	PD(type=d-p,subtype=art,position=prenom)	de	
Stenden	NOU-C(number=pl)	stenden	
van	ADP(type=pre)	van	
het	PD(type=d-p,subtype=art,position=prenom)	het	
Groot	NOU-C(number=sg)	groothertogdom	mw_237707
Hertoghdom	NOU-C(number=sg)	groothertogdom	mw_237707
van	ADP(type=pre)	van	
Littauwen	NOU-P	Litouwen	
haer	PD(type=pers,position=free)	zij	
voor	ADP(type=pre)	voor	
desemael	PD(type=d-p,subtype=oth,position=prenom)+NOU-C(number=sg)	deze+maal	
daer	ADV(type=pron)	daartegen	mw_970053
tegen	ADV(type=pron)	daartegen	mw_970053
niet	ADV(type=reg)	niet	
aenkanten	VRB(finiteness=inf)	aankanten	
noch	CONJ(type=coor)	noch	
begeeren	VRB(finiteness=fin,tense=pres)	begeren	
,	PC		
dat	CONJ(type=sub)	dat	
men	PD(type=pers,position=free)	men	
se	PD(type=pers,position=free)	zij	
volgens	ADP(type=pre)	volgens	
het	PD(type=d-p,subtype=art,position=prenom)	het	
opgerechte	AA(degree=pos,position=prenom)	opgericht	
Concordaet	NOU-C(number=sg)	concordaat	
,	PC		
in	ADP(type=pre)	in	
conformité	NOU-C(number=sg)	conformité	
van	ADP(type=pre)	van	
't	PD(type=w-p,position=free)	hetwelk	mw_663609
welcke	PD(type=w-p,position=free)	hetwelk	mw_663609
sy	PD(type=pers,position=free)	zij	
het	PD(type=d-p,subtype=art,position=prenom)	het	
eene	NUM(type=card,position=prenom,representation=let)	een	
Jaer	NOU-C(number=sg)	jaar	
in	ADP(type=pre)	in	
Littauwen	NOU-P	Litouwen	
ende	CONJ(type=coor)	en	
het	PD(type=d-p,subtype=art,position=prenom)	het	
andere	NUM(type=ord,position=prenom,representation=let)	ander	
in	ADP(type=pre)	in	
dit	PD(type=d-p,subtype=oth,position=prenom)	dit	
Coninckrijck	NOU-C(number=sg)	koninkrijk	
byeen	VRB(finiteness=inf)	bijeenkomen	mw_635786
moet	VRB(finiteness=fin,tense=pres)	moeten	
komen	VRB(finiteness=inf)	bijeenkomen	mw_635786
,	PC		
desemael	PD(type=d-p,subtype=oth,position=prenom)+NOU-C(number=sg)	deze+maal	
te	ADP(type=pre)	te	
Grodno	NOU-P	Grodno	
beroepe	VRB(finiteness=pastpart)	beroepen	
;	PC		
midts	ADP(type=pre)	mits	
dat	CONJ(type=sub)	dat	
maer	ADV(type=reg)	maar	
een	NUM(type=card,position=free,representation=let)	een	
van	ADP(type=pre)	van	
hare	PD(type=poss,position=prenom)	haar	
Landstaten	NOU-C(number=sg)	landstaat	
tot	ADP(type=pre)	tot	
Mareschal	NOU-C(number=sg)	mareschal	
der	PD(type=d-p,subtype=art,position=prenom)	de	
Vergaderinge	NOU-C(number=sg)	vergadering	
aengestelt	VRB(finiteness=pastpart)	aanstellen	
werde	VRB(finiteness=fin,tense=pres)	worden	
.	PC		

Men	PD(type=pers,position=free)	men	
spreeckt	VRB(finiteness=fin,tense=pres)	spreken	
,	PC		
dat	CONJ(type=sub)	dat	
den	PD(type=d-p,subtype=art,position=prenom)	de	
Coning	NOU-C(number=sg)	koning	
in	ADP(type=pre)	in	
het	PD(type=d-p,subtype=art,position=prenom)	het	
kort	NOU-C(number=sg)	kort	
de	PD(type=d-p,subtype=art,position=prenom)	de	
vacante	AA(degree=pos,position=prenom)	vacant	
Ampten	NOU-C(number=pl)	ambt	
vergeven	VRB(finiteness=inf)	vergeven	
sal	VRB(finiteness=fin,tense=pres)	zullen	
;	PC		
ende	CONJ(type=coor)	en	
niet	ADV(type=reg)	niet	
buyten	ADP(type=pre)	buiten	
apparentie	NOU-C(number=sg)	apparentie	
,	PC		
dat	CONJ(type=sub)	dat	
den	PD(type=d-p,subtype=art,position=prenom)	de	
heer	NOU-C(number=sg)	heer	
Potoski	NOU-P	Potocki	
,	PC		
Palatijn	NOU-C(number=sg)	palatijn	
van	ADP(type=pre)	van	
