Dewyl	CONJ(type=sub)	dewijl	
ik	PD(type=pers,position=free)	ik	
my	PD(type=refl,position=free)	mij	
nu	ADV(type=reg)	nu	
soo	ADV(type=reg)	zo	
geweldigh	AA(degree=pos,position=free)	geweldig	
gehaast	VRB(finiteness=pastpart)	haasten	
,	PC	,	
en	CONJ(type=coor)	en	
myn	PD(type=poss,position=prenom)	mijn	
lichchaam	NOU-C(number=sg)	lichaam	
naauwelyks	ADV(type=reg)	nauwelijks	
tydts	NOU-C(number=sg)	tijd	
ghenoeg	PD(type=indef,position=postnom)	genoeg	
tot	ADP(type=pre)	tot	
rusten	NOU-C(number=sg)	rusten	
vergund	VRB(finiteness=pastpart)	vergunnen	
had	VRB(finiteness=fin,tense=past)	hebben	
,	PC	,	
viel	VRB(finiteness=fin,tense=past)	vallen	
ik	PD(type=pers,position=free)	ik	
op	ADP(type=pre)	op	
den	PD(type=d-p,subtype=art,position=prenom)	de	
avond	NOU-C(number=sg)	avond	
van	ADP(type=pre)	van	
den	PD(type=d-p,subtype=art,position=prenom)	de	
darden	NUM(type=ord,position=prenom,representation=let)	derde	
dag	NOU-C(number=sg)	dag	
,	PC	,	
wanneer	CONJ(type=sub)	wanneer	
ik	PD(type=pers,position=free)	ik	
ontrent	ADP(type=pre)	omtrent	
ses	NUM(type=card,position=prenom,representation=let)	zes	
uuren	NOU-C(number=pl)	uur	
na	ADP(type=pre)	na	
bed	NOU-C(number=sg)	bed	
ging	VRB(finiteness=fin,tense=past)	gaan	
,	PC	,	
om	ADP(type=pre)	om	
des	PD(type=d-p,subtype=art,position=prenom)	de	
anderen	NUM(type=ord,position=prenom,representation=let)	ander	
daags	NOU-C(number=sg)	dag	
te	ADV(type=reg)	te	
frisscher	AA(degree=comp,position=free)	fris	
te	ADP(type=pre)	te	
zyn	VRB(finiteness=inf)	zijn	
,	PC	,	
so	ADV(type=reg)	zo	
vast	AA(degree=pos,position=free)	vast	
in	ADP(type=pre)	in	
slaap	NOU-C(number=sg)	slaap	
dat	CONJ(type=sub)	dat	
de	PD(type=d-p,subtype=art,position=prenom)	de	
slag	NOU-C(number=sg)	slag	
van	ADP(type=pre)	van	
soodanigh	PD(type=d-p,position=free)	zodanig	
een	PD(type=indef,subtype=art,position=prenom)	een	
Bombe	NOU-C(number=sg)	bom	
,	PC	,	
als	CONJ(type=sub)	als	
Barend	NOU-P	Barend	
in	ADP(type=pre)	in	
Groeningen	NOU-P	Groningen	
gooide	VRB(finiteness=fin,tense=past)	gooien	
,	PC	,	
al	CONJ(type=sub)	al	
had	VRB(finiteness=fin,tense=past)	hebben	
se	PD(type=pers,position=free)	zij	
selfs	ADV(type=reg)	zelfs	
nevens	ADP(type=pre)	nevens	
myn	PD(type=poss,position=prenom)	mijn	
bet	NOU-C(number=sg)	bed	
komen	VRB(finiteness=inf)	komen	
neervallen	VRB(finiteness=inf)	nedervallen	
,	PC	,	
niet	ADV(type=reg)	niet	
machtig	AA(degree=pos,position=free)	machtig	
ghenoeg	ADV(type=reg)	genoeg	
gheweest	VRB(finiteness=pastpart)	zijn	
soude	VRB(finiteness=fin,tense=past)	zullen	
zyn	VRB(finiteness=inf)	zijn	
om	ADP(type=pre)	om	
my	PD(type=pers,position=free)	ik	
t	ADP(type=pre)	te	
'	PC	'	
ontwaacken	VRB(finiteness=inf)	ontwaken	
.	PC	.	

Even	AA(degree=pos,position=free)	even	
had	VRB(finiteness=fin,tense=past)	hebben	
myn	PD(type=poss,position=prenom)	mijn	
Leidsman	NOU-C(number=sg)	leidsman	
zyn	PD(type=poss,position=prenom)	zijn	
wonderlyke	AA(degree=pos,position=prenom)	wonderlijk	
verrekyker	NOU-C(number=sg)	verrekijker	
weer	ADV(type=reg)	weder	
weg	VRB(finiteness=pastpart)	wegsteken	mw_228
gestoken	VRB(finiteness=pastpart)	wegsteken	mw_228
,	PC	,	
wanneer	CONJ(type=sub)	wanneer	
ik	PD(type=pers,position=free)	ik	
de	PD(type=d-p,subtype=art,position=prenom)	de	
Meid	NOU-C(number=sg)	meid	
stilletjes	AA(degree=pos,position=free)	stilletjes	
tegen	ADP(type=pre)	tegen	
de	PD(type=d-p,subtype=art,position=prenom)	de	
waardin	NOU-C(number=sg)	waardin	
hoorde	VRB(finiteness=fin,tense=past)	horen	
zeggen	VRB(finiteness=inf)	zeggen	
,	PC	,	
dat	CONJ(type=sub)	dat	
Izabel	NOU-P	Izabel	
weer	ADV(type=reg)	weder	
uit	ADP(type=pre)	uit	
Braband	NOU-P	Brabant	
gekomen	VRB(finiteness=pastpart)	komen	
was	VRB(finiteness=fin,tense=past)	zijn	
,	PC	,	
en	CONJ(type=coor)	en	
dat	CONJ(type=sub)	dat	
zy	PD(type=pers,position=free)	zij	
haar	PD(type=pers,position=free)	zij	
in	ADP(type=pre)	in	
de	PD(type=d-p,subtype=art,position=prenom)	de	
binne-kamer	NOU-C(number=sg)	binnenkamer	
met	ADP(type=pre)	met	
drie	NUM(type=card,position=prenom,representation=let)	drie	
Vrouwluy	NOU-C(number=pl)	vrouwlieden	
stond	VRB(finiteness=fin,tense=past)	staan	
te	ADP(type=pre)	te	
wagten	VRB(finiteness=inf)	wachten	
.	PC	.	

Dat	PD(type=d-p,position=free)	dat	
zyn	VRB(finiteness=fin,tense=pres)	zijn	
die	PD(type=d-p,subtype=oth,position=prenom)	die	
Juffertjes	NOU-C(number=pl)	juffertje	
,	PC	,	
zei	VRB(finiteness=fin,tense=past)	zeggen	
myn	PD(type=poss,position=prenom)	mijn	
Leidsman	NOU-C(number=sg)	leidsman	
,	PC	,	
daar	ADV(type=pron)	daaraf	mw_99
gy	PD(type=pers,position=free)	gij	
in	ADP(type=pre)	in	
de	PD(type=d-p,subtype=art,position=prenom)	de	
Schuyt	NOU-C(number=sg)	schuit	
af	ADV(type=pron)	daaraf	mw_99
hebt	VRB(finiteness=fin,tense=pres)	hebben	
hooren	VRB(finiteness=inf)	horen	
spreekan	VRB(finiteness=inf,WF=mis)	spreken	
.	PC	.	

'k	PD(type=pers,position=free)	ik	
Meende	VRB(finiteness=fin,tense=past)	menen	
,	PC	,	
dat	CONJ(type=sub)	dat	
'	PC	'	
er	ADV(type=reg)	er	
vier	NUM(type=card,position=free,representation=let)	vier	
komen	VRB(finiteness=inf)	komen	
zouden	VRB(finiteness=fin,tense=past)	zullen	
,	PC	,	
zeid	VRB(finiteness=fin,tense=past)	zeggen	
ik	PD(type=pers,position=free)	ik	
.	PC	.	

Gy	PD(type=pers,position=free)	gij	
sult	VRB(finiteness=fin,tense=pres)	zullen	
de	PD(type=d-p,subtype=art,position=prenom)	de	
reden	NOU-C(number=sg)	reden	
wel	ADV(type=reg)	wel	
hooren	VRB(finiteness=inf)	horen	
,	PC	,	
hernam	VRB(finiteness=fin,tense=past)	hernemen	
hy	PD(type=pers,position=free)	hij	
waarom	ADV(type=pron)	waarom	
de	PD(type=d-p,subtype=art,position=prenom)	de	
vierde	NOU-C(number=sg)	vierde	
achter	VRB(finiteness=pastpart)	achterblijven	mw_17
gebleven	VRB(finiteness=pastpart)	achterblijven	mw_17
is	VRB(finiteness=fin,tense=pres)	zijn	
;	PC	;	
en	CONJ(type=coor)	en	
hier	ADV(type=pron)	hierop	mw_241
op	ADV(type=pron)	hierop	mw_241
na	ADP(type=pre)	na	
de	PD(type=d-p,subtype=art,position=prenom)	de	
andere	NUM(type=ord,position=prenom,representation=let)	ander	
Kamer	NOU-C(number=sg)	kamer	
stappende	VRB(finiteness=prespart)	stappen	
,	PC	,	
daar	ADV(type=reg)	daar	
ik	PD(type=pers,position=free)	ik	
hier	ADV(type=pron)	hiervoor	mw_242
voor	ADV(type=pron)	hiervoor	mw_242
af	VRB(finiteness=pastpart)	afspreken	mw_46
gesproken	VRB(finiteness=pastpart)	afspreken	mw_46
heb	VRB(finiteness=fin,tense=pres)	hebben	
,	PC	,	
vonden	VRB(finiteness=fin,tense=past)	vinden	
wy	PD(type=pers,position=free)	wij	
daar	ADV(type=reg)	daar	
drie	NUM(type=card,position=prenom,representation=let)	drie	
Brabandsche	AA(degree=pos,position=prenom)	Brabants	
diertjes	NOU-C(number=pl)	diertje	
,	PC	,	
die	PD(type=d-p,position=free)	die	
op	ADP(type=pre)	op	
zyn	PD(type=poss,position=prenom)	zijn	
Juffers	NOU-C(number=pl)	juffers	
gehuld	VRB(finiteness=pastpart)	hullen	
waren	VRB(finiteness=fin,tense=past)	zijn	
,	PC	,	
met	ADP(type=pre)	met	
een	PD(type=indef,subtype=art,position=prenom)	een	
menigte	NOU-C(number=sg)	menigte	
van	ADP(type=pre)	van	
krulletjes	NOU-C(number=pl)	krulletje	
en	CONJ(type=coor)	en	
stricken	NOU-C(number=pl)	strik	
,	PC	,	
welke	PD(type=w-p,position=free)	welk	
echter	ADV(type=reg)	echter	
zoo	PD(type=indef,subtype=oth,position=prenom)	zoveel	mw_355
veel	PD(type=indef,subtype=oth,position=prenom)	zoveel	mw_355
vermogen	NOU-C(number=sg)	vermogen	
niet	ADV(type=reg)	niet	
