
Gunstyge	AA(degree=pos,position=prenom)	gunstijg	
guede	AA(degree=pos,position=prenom)	goed	
vrinden	NOU-C(number=pl)	vriend	
.	PC		

Ick	PD(type=pers,position=free)	ik	
weet	VRB(finiteness=fin,tense=pres)	weten	
niet	ADV(type=reg)	niet	
wat	PD(type=w-p,position=free)	wat	
ick	PD(type=pers,position=free)	ik	
hier	ADV(type=pron)	hieruit	mw_868389
uut	ADV(type=pron)	hieruit	mw_868389
verstaen	VRB(finiteness=inf)	verstaan	
sal	VRB(finiteness=fin,tense=pres)	zullen	
dat	CONJ(type=sub)	dat	
ghij	PD(type=pers,position=free)	gij	
mijn	PD(type=pers,position=free)	ik	
mit	ADP(type=pre)	met	
u	PD(type=poss,position=prenom)	uw	
burgers	NOU-C(number=pl)	burger	
et	PD(type=d-p,subtype=art,position=prenom)	het	
geschut	NOU-C(number=sg)	geschut	
op	ADP(type=pre)	op	
die	PD(type=d-p,subtype=art,position=prenom)	de	
twe	NUM(type=card,position=prenom,representation=let)	twee	
scheepkens	NOU-C(number=pl)	scheepje	
ghesonden	VRB(finiteness=pastpart)	zenden	
hebt	VRB(finiteness=fin,tense=pres)	hebben	
sonder	ADP(type=pre)	zonder	
cruyt	NOU-C(number=sg)	kruid	
ende	CONJ(type=coor)	en	
cloten	NOU-C(number=pl)	kloot	
,	PC		
daermen	ADV(type=reg)+PD(type=pers,position=free)	daar+men	
alhier	ADV(type=reg)	alhier	
den	PD(type=d-p,subtype=art,position=prenom)	de	
viant	NOU-C(number=sg)	vijand	
alle	PD(type=indef,subtype=oth,position=prenom)	al	
ure	NOU-C(number=pl)	uur	
mede	ADV(type=reg)	mede	
doende	VRB(finiteness=prespart)	doen	
sijn	VRB(finiteness=fin,tense=pres)	zijn	
.	PC		

Wat	PD(type=w-p,position=free)	wat	
isster	VRB(finiteness=fin,tense=pres)+ADV(type=pron)	zijn+ermede	mw_439992
mede	VRB(finiteness=fin,tense=pres)+ADV(type=pron)	zijn+ermede	mw_439992
uutte	VRB(finiteness=inf)+ADP(type=pre)	uitrichten+te	mw_324702
richten	VRB(finiteness=inf)+ADP(type=pre)	uitrichten+te	mw_324702
,	PC		
daer	ADV(type=reg)	daar	
cruyt	NOU-C(number=sg)	kruid	
noch	CONJ(type=coor)	noch	
loot	NOU-C(number=sg)	lood	
es	VRB(finiteness=fin,tense=pres)	zijn	
oec	ADV(type=reg)	ook	
mit	ADP(type=pre)	met	
namen	NOU-C(number=sg)	naam	
datter	CONJ(type=sub)+ADV(type=pron)	dat+erbij	mw_395207
geen	PD(type=indef,subtype=oth,position=prenom)	geen	
victualie	NOU-C(number=sg)	victualie	
prinsypael	AA(degree=pos,position=free)	principaal	
bij	CONJ(type=sub)+ADV(type=pron)	dat+erbij	mw_395207
en	ADV(type=reg)	ne	
es	VRB(finiteness=fin,tense=pres)	zijn	
ende	CONJ(type=coor)	en	
honger	NOU-C(number=sg)	honger	
lijden	VRB(finiteness=inf)	lijden	
?	PC		

Weyder	ADV(type=reg)	weder	
soe	ADV(type=reg)	zo	
ist	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	zijn+het	
mijne	PD(type=pers,position=free)	ik	
leet	NOU-C(number=sg)	leed	
dat	CONJ(type=sub)	dat	
ick	PD(type=pers,position=free)	ik	
soe	ADV(type=reg)	zo	
grote	AA(degree=pos,position=prenom)	groot	
clachten	NOU-C(number=pl)	klacht	
hore	VRB(finiteness=fin,tense=pres)	horen	
over	ADP(type=pre)	over	
die	PD(type=d-p,subtype=art,position=prenom)	de	
leeninge	NOU-C(number=sg)	lening	
van	ADP(type=pre)	van	
Thomas	NOU-P	Thomas	
Syget	NOU-P	Syget	
die	PD(type=w-p,position=free)	dewelke	mw_132447
welcken	PD(type=w-p,position=free)	dewelke	mw_132447
hem	PD(type=refl,position=free)	hem	
soe	ADV(type=reg)	zo	
eerlijcken	AA(degree=pos,position=free)	eerlijk	
alhier	ADV(type=reg)	alhier	
is	VRB(finiteness=fin,tense=pres)	zijn	
dragend	VRB(finiteness=prespart)	dragen	
mit	ADP(type=pre)	met	
sijn	PD(type=poss,position=prenom)	zijn	
knechten	NOU-C(number=pl)	knecht	
ende	CONJ(type=coor)	en	
als	ADV(type=reg)	alsnog	mw_308950
noch	ADV(type=reg)	alsnog	mw_308950
dracht	VRB(finiteness=fin,tense=pres)	dragen	
ende	CONJ(type=coor)	en	
moet	VRB(finiteness=fin,tense=pres)	moeten	
honger	NOU-C(number=sg)	honger	
lijden	VRB(finiteness=inf)	lijden	
des	PD(type=d-p,subtype=art,position=prenom)	de	
leninges	NOU-C(number=sg)	lening	
halven	NOU-C(number=sg)	half	
,	PC		
het	PD(type=w-p,position=free)	hetwelk	mw_850558
welcken	PD(type=w-p,position=free)	hetwelk	mw_850558
niet	ADV(type=reg)	niet	
en	ADV(type=reg)	ne	
behoort	VRB(finiteness=fin,tense=pres)	behoren	
.	PC		

Soe	ADV(type=reg)	zo	
ist	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	zijn+het	
dat	CONJ(type=sub)	dat	
ick	PD(type=pers,position=free)	ik	
u	PD(type=pers,position=free)	u	
bevele	VRB(finiteness=fin,tense=pres)	bevelen	
van	ADP(type=pre)	vanwege	mw_268588
wegen	ADP(type=pre)	vanwege	mw_268588
