
Nederbergse			
geneeskundige			
recepten			
Pasternake	NOU-C(number=sg)	pastinaak	
is	VRB(finiteness=fin,tense=pres)	zijn	
gut	AA(degree=pos,position=free)	goed	
der	PD(type=d-p,subtype=art,position=prenom)	de	
wrove	NOU-C(number=sg)	vrouw	
alse	CONJ(type=sub)	als	
si	PD(type=pers,position=free)	zij	
des	PD(type=d-p,subtype=art,position=prenom)	dat	
kindes	NOU-C(number=sg)	kind	
genesen	VRB(finiteness=pastpart)	genezen	
is	VRB(finiteness=fin,tense=pres)	zijn	
.	no_pos		
Nim	VRB(finiteness=fin,tense=pres)	nemen	
des	PD(type=d-p,subtype=art,position=prenom)	dat	
crudes	NOU-C(number=sg)	kruid	
eín	PD(type=indef,subtype=art,position=prenom)	een	
bundel	NOU-C(number=sg)	bundel	
ande	CONJ(type=coor)	en	
saluenen	NOU-C(number=sg)	zelf	
also	CONJ(type=sub)	alzo	
wil	PD(type=indef,position=free)	veel	
.	no_pos		
suht	VRB(finiteness=fin,tense=pres)	zieden	
bit	ADP(type=pre)	bet	
watere	NOU-C(number=sg)	water	
harde	ADV(type=reg)	hard	
ande	CONJ(type=coor)	en	
bade	VRB(finiteness=fin,tense=pres)	baden	
si	PD(type=pers,position=free)	zij	
an	ADP(type=pre)	aan	
water	NOU-C(number=sg)	water	
bade	VRB(finiteness=fin,tense=pres)	baden	
so	ADV(type=reg)	zo	
si	PD(type=pers,position=free)	zij	
ut	VRB(finiteness=fin,tense=pres)	uitgaan	
get	VRB(finiteness=fin,tense=pres)	uitgaan	
so	ADV(type=reg)	zo	
gif	VRB(finiteness=fin,tense=pres)	geven	
ire	PD(type=pers,position=free)	zij	
drinken	NOU-C(number=sg)	drinken	
warm	AA(degree=pos,position=free)	warm	
.	no_pos		
dit	PD(type=d-p,position=free)	dit	
do	VRB(finiteness=fin,tense=pres)	doen	
tín	NUM(type=card,position=prenom,representation=let)	tien	
dage	NOU-C(number=pl)	dag	
.	no_pos		

Of	CONJ(type=coor)	of	
dat	PD(type=d-p,position=free)	dat	
wif	NOU-C(number=sg)	wijf	
rasende	AA(degree=pos,position=free)	razend	
wirt	VRB(finiteness=fin,tense=pres)	worden	
.	no_pos		
so	ADV(type=reg)	zo	
roke	VRB(finiteness=fin,tense=pres)	roken	
si	PD(type=pers,position=free)	zij	
bit	ADP(type=pre)	bet	
den	PD(type=d-p,subtype=art,position=prenom)	dat	
crude.	NOU-C(number=sg)	kruid	
Of	CONJ(type=sub)	of	
di	PD(type=d-p,subtype=art,position=prenom)	de	
man	NOU-C(number=sg)	man	
erstummet	VRB(finiteness=fin,tense=pres)	erstommen	
so	ADV(type=reg)	zo	
sut	VRB(finiteness=fin,tense=pres)	zieden	
den	PD(type=d-p,subtype=art,position=prenom)	de	
pasternaken	NOU-C(number=sg)	pastinaak	
an	ADP(type=pre)	aan	
watere	NOU-C(number=sg)	water	
vnde	CONJ(type=coor)	en	
gif	VRB(finiteness=fin,tense=pres)	geven	
síuen	NUM(type=card,position=prenom,representation=let)	zeven	
dage	NOU-C(number=pl)	dag	
drinken.	NOU-C(number=sg)	drinken	
her	PD(type=pers,position=free)	hij	
sprecket	VRB(finiteness=fin,tense=pres)	spreken	
Golda	NOU-C(number=sg)	golda	
is	VRB(finiteness=fin,tense=pres)	zijn	
gut	AA(degree=pos,position=free)	goed	
to	ADP(type=pre)	toe	
spile	NOU-C(number=sg)	spel	
so	CONJ(type=sub)	zo	
men	PD(type=pers,position=free)	men	
wiscet	VRB(finiteness=fin,tense=pres)	vissen	
puluer	VRB(finiteness=fin,tense=pres)	pulveren	
si	PD(type=pers,position=free)	zij	
ande	CONJ(type=coor)	en	
wirp	VRB(finiteness=fin,tense=pres)	werpen	
si	PD(type=pers,position=free)	zij	
an	ADP(type=pre)	aan	
dat	PD(type=d-p,subtype=art,position=prenom)	dat	
water	NOU-C(number=sg)	water	
so	ADV(type=reg)	zo	
wilc	PD(type=w-p,position=prenom)	welk	
wisc	NOU-C(number=sg)	vis	
iren	PD(type=pers,position=free)	zij	
bitet	VRB(finiteness=fin,tense=pres)	bijten	

her	PD(type=pers,position=free)	hij	
snewet	VRB(finiteness=fin,tense=pres)	sneven	
.	no_pos		
