Nu	ADV(type=reg)	nu	
haalt	VRB(finiteness=fin,tense=pres)	aanhalen	mw_203484
zy	PD(type=pers,position=free)	zij	
Brunier	NOU-P	Brunier	
aan	VRB(finiteness=fin,tense=pres)	aanhalen	mw_203484
als	CONJ(type=sub)	als	
een	PD(type=indef,subtype=art,position=prenom)	een	
mal	AA(degree=pos,position=prenom)	mal	
meisje	NOU-C(number=sg)	meisje	
;	PC	;	
dan	ADV(type=reg)	dan	
zegt	VRB(finiteness=fin,tense=pres)	zeggen	
zy	PD(type=pers,position=free)	zij	
hem	PD(type=pers,position=free)	hij	
naauwlyks	ADV(type=reg)	nauwelijks	
goeden	NOU-C(number=sg)	goedendag	mw_854630
dag	NOU-C(number=sg)	goedendag	mw_854630
,	PC	,	



Hy	PD(type=pers,position=free)	hij	
vervoegde	VRB(finiteness=fin,tense=past)	vervoegen	
zich	PD(type=refl,position=free)	zich	
…	PC	…	
by	ADP(type=pre)	bij	
my	PD(type=pers,position=free)	ik	
,	PC	,	
my	PD(type=pers,position=free)	ik	
biddende	VRB(finiteness=prespart)	bidden	
om	ADP(type=pre)	om	
voor	ADP(type=pre)	voor	
hem	PD(type=pers,position=free)	hij	
,	PC	,	
by	ADP(type=pre)	bij	
den	PD(type=d-p,subtype=art,position=prenom)	de	
Heer	NOU-C(number=sg)	heer	
H	NOU-P(WF=abbr)	H.	
.,	PC	.,	
een	PD(type=indef,subtype=art,position=prenom)	een	
amptje	NOU-C(number=sg)	ambtje	
te	ADP(type=pre)	te	
besolliciteeren	VRB(finiteness=inf)	besolliciteren	
,	PC	,	



Wel	INT	welaan	mw_118422
aan	INT	welaan	mw_118422
dan	ADV(type=reg)	dan	
,	PC	,	
zo	CONJ(type=sub)	zo	
't	PD(type=pers,position=free)	het	
u	PD(type=pers,position=free)	u	
lust	VRB(finiteness=fin,tense=pres)	lusten	
,	PC	,	
wy	PD(type=pers,position=free)	wij	
zingen	VRB(finiteness=fin,tense=pres)	zingen	
eens	ADV(type=reg)	eens	
by	ADP(type=pre)	bij	
beurt	NOU-C(number=sg)	beurt	
,	PC	,	
