
Sr	NOU-C(number=sg,WF=abbr)	sinjeur	
reijnier	NOU-P	Reinier	
warner	NOU-P	Warner	
tot	ADP(type=pre)	tot	
mijddelburgh	NOU-P	Middelburg	
in	ADP(type=pre)	in	
de	PD(type=d-p,subtype=art,position=prenom)	de	
gardt	NOU-P	Gaardstraat	mw_12276
straete	NOU-P	Gaardstraat	mw_12276
in	ADP(type=pre)	in	
de	PD(type=d-p,subtype=art,position=prenom)	de	
vergulde	AA(degree=pos,position=prenom)	verguld	
melck	NOU-C(number=sg)	melkkan	mw_4249
canne	NOU-C(number=sg)	melkkan	mw_4249
met	ADP(type=pre)	met	
vrient	NOU-C(number=sg)	vriend	
die	PD(type=d-p,position=free)	die	
godt	NOU-P	God	
belieft	VRB(finiteness=fin,tense=pres)	believen	
te	ADP(type=pre)	te	
bewaeren	VRB(finiteness=inf)	bewaren	
jn	ADP(type=pre)	in	
Surname	NOU-P	Suriname	
dan	PD(type=d-p,subtype=art,position=prenom,WF=mis)	de	
10	NUM(type=ord,position=prenom,representation=dig)	tiende	
september	NOU-C(number=sg)	september	
1672	NUM(type=card,position=postnom,representation=dig)	1672	
Sr	NOU-C(number=sg,WF=abbr)	sinjeur	
reijnier	NOU-P	Reinier	
waerner	NOU-P	Waerner	
zeeder	CONJ(type=coor)	sedert	
ul	PD(type=pers,position=free,WF=abbr)	ulieden	
vertreckt	NOU-C(number=sg)	vertrek	
geen	PD(type=indef,subtype=oth,position=prenom)	geen	
veranderinge	NOU-C(number=sg)	verandering	
voor	ADP(type=pre)	voor	
ul	PD(type=pers,position=free,WF=abbr)	ulieden	
noch	ADV(type=reg)	nog	
niet	ADV(type=reg)	niet	
onha	RES(type=uncl)	-	
den	PD(type=d-p,subtype=art,position=prenom)	de	
ofseier	NOU-C(number=sg)	officier	
vande	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de	
plantaesse	NOU-C(number=sg)	plantage	
van	ADP(type=pre)	van	
rahckrahck	NOU-P	Rak a Rak	
die	PD(type=d-p,position=free)	die	
weijgert	VRB(finiteness=fin,tense=pres)	weigeren	
dat	PD(type=d-p,position=free)	dat	
te	ADP(type=pre)	te	

betalen.	VRB(finiteness=inf)	betalen	
wat	PD(type=w-p,position=free)	wat	
de	PD(type=d-p,subtype=art,position=prenom)	de	
boet	NOU-C(number=sg)	boot	
aengaet	VRB(finiteness=fin,tense=pres)	aangaan	
die	PD(type=d-p,position=free)	die	
licht	VRB(finiteness=fin,tense=pres)	liggen	
daer	ADV(type=reg)	daar	
noch	ADV(type=reg)	nog	
soo	CONJ(type=sub)	zodat	mw_25017
dat	CONJ(type=sub)	zodat	mw_25017
ul	PD(type=pers,position=free,WF=abbr)	ulieden	
weinnich	PD(type=indef,position=free)	weinig	
te	ADP(type=pre)	te	
verwachten	VRB(finiteness=inf)	verwachten	
hebt	VRB(finiteness=fin,tense=pres)	hebben	
naer	ADP(type=pre)	naar	
mien	PD(type=poss,position=prenom)	mijn	
oordel	NOU-C(number=sg)	oordeel	
voors	ADV(type=reg)	voorts	
soo	ADV(type=reg)	zo	
wensse	VRB(finiteness=fin,tense=pres)	wensen	
ick	PD(type=pers,position=free)	ik	
u	PD(type=pers,position=free,WF=abbr)	ulieden	mw_18586
l	PD(type=pers,position=free,WF=abbr)	ulieden	mw_18586
wel	ADV(type=reg)	wel	
zijt	VRB(finiteness=fin,tense=pres)	zijn	
tius	ADV(type=reg)	thuis	
ghecom	VRB(finiteness=pastpart)	komen	
met	ADP(type=pre)	met	
ghesontheijt	NOU-C(number=sg)	gezondheid	
ende	CONJ(type=coor)	en	
sijt	VRB(finiteness=fin,tense=pres)	zijn	
aertelick	AA(degree=pos,position=free)	hartelijk	
ghegroet	VRB(finiteness=pastpart)	groeten	
van	ADP(type=pre)	van	
ul	PD(type=pers,position=free,WF=abbr)	ulieden	
vrint	NOU-C(number=sg)	vriend	
endiennaer	CONJ(type=coor)+NOU-C(number=sg)	en+dienaar	
Jacob	NOU-P	Jakob	
vandevelde	NOU-P	Van de Velde	

desen	PD(type=d-p,subtype=oth,position=prenom)	deze	
brijef	NOU-C(number=sg)	brief	
salmen	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	zullen+men	
bestellen	VRB(finiteness=inf)	bestellen	
aen	ADP(type=pre)	aan	
wouter	NOU-P	Wouter	
dijrcksen	NOU-P	Dircksen	
vonende	VRB(finiteness=prespart)	wonen	
op	ADP(type=pre)	op	
de	PD(type=d-p,subtype=art,position=prenom)	de	
blaeuendeijck	NOU-P	Blauwedijk	
jn	ADP(type=pre)	in	
teijmen	NOU-P	Tijmen	
Jansens	NOU-P	Jansens	
ganck	NOU-C(number=sg)	gang	
beij	ADP(type=pre)	bij	
de	PD(type=d-p,subtype=art,position=prenom)	de	
goesekoren	NOU-P	Goese Korenmarkt	mw_8240
mardt	NOU-P	Goese Korenmarkt	mw_8240
medt	ADP(type=pre)	met	
vriendt	NOU-C(number=sg)	vriend	
dije	PD(type=d-p,position=free)	die	
godt	NOU-P	God	
beuaerdt	VRB(finiteness=fin,tense=pres)	bewaren	
ouer	ADP(type=pre)	over	
zee	NOU-C(number=sg)	zee	
geschreue	VRB(finiteness=pastpart)	schrijven	
te	ADP(type=pre)	te	
boudens	NOU-P	Boudens	
Looft	VRB(finiteness=fin,tense=pres)	loven	
Godt	NOU-P	God	
bouen	ADV(type=reg)	bovenal	mw_2504
Al	ADV(type=reg)	bovenal	mw_2504
den	PD(type=d-p,subtype=art,position=prenom)	de	
18	NUM(type=ord,position=prenom,representation=dig)	achttiende	
Julij	NOU-C(number=sg)	julius	
een	PD(type=indef,subtype=art,position=prenom)	een	
frijendelijcke	AA(degree=pos,position=prenom)	vriendelijk	
groete	NOU-C(number=sg)	groetenis	mw_8283
nijsse	NOU-C(number=sg)	groetenis	mw_8283
sij	VRB(finiteness=fin,tense=pres)	zijn	
geschreuen	VRB(finiteness=pastpart)	schrijven	
Aen	ADP(type=pre)	aan	
meijn	PD(type=poss,position=prenom)	mijn	
bemijnde	AA(degree=pos,position=prenom)	bemind	
vaeder	NOU-C(number=sg)	vader	
ende	CONJ(type=coor)	en	
moeder	NOU-C(number=sg)	moeder	
ende	CONJ(type=coor)	en	
suster	NOU-C(number=sg)	zuster	

Ick	PD(type=pers,position=free)	ik	
laedt	VRB(finiteness=fin,tense=pres)	laten	
vl	PD(type=pers,position=free,WF=abbr)	ulieden	
weten	VRB(finiteness=inf)	weten	
Als	CONJ(type=sub)	als	
daedt	PD(type=d-p,position=free)	dat	
Ick	PD(type=pers,position=free)	ik	
noch	ADV(type=reg)	nog	
kloek	AA(degree=pos,position=free)	kloek	
endt	CONJ(type=coor)	en	
gesondt	AA(degree=pos,position=free)	gezond	
ben	VRB(finiteness=fin,tense=pres)	zijn	
godt	NOU-P	God	
hebbe	VRB(finiteness=fin,tense=pres)	hebben	
lof	NOU-C(number=sg)	lof	
van	ADP(type=pre)	van	
seijnder	PD(type=poss,position=prenom)	zijn	
genade	NOU-C(number=sg)	genade	
Als	CONJ(type=sub)	als	
Ick	PD(type=pers,position=free)	ik	
verhoepe	VRB(finiteness=fin,tense=pres)	verhopen	
dadt	CONJ(type=sub)	dat	
hedt	PD(type=pers,position=free)	het	
medt	ADP(type=pre)	met	
v	PD(type=pers,position=free)	u	
oock	ADV(type=reg)	ook	
soo	ADV(type=reg)	zo	
ijs	VRB(finiteness=fin,tense=pres)	zijn	
waer	VRB(finiteness=fin,tense=past)	zijn	
hedt	PD(type=pers,position=free)	het	
aenders	ADV(type=reg)	anders	
hedt	PD(type=pers,position=free)	het	
soude	VRB(finiteness=fin,tense=past)	zullen	
meijn	PD(type=pers,position=free)	ik	
van	ADP(type=pre)	van	
herte	NOU-C(number=sg)	hart	
ledt	AA(degree=pos,position=free)	leed	
wese	VRB(finiteness=inf)	wezen	
omte	CONJ(type=sub)+ADP(type=pre)	om+te	
hore	VRB(finiteness=fin,tense=pres)	horen	
vorders	ADV(type=reg)	voorders	
laedt	VRB(finiteness=fin,tense=pres)	laten	
