
pc-00531067			
formelle	RES(type=for)	formelle	
,	PC		
que	RES(type=for)	que	
la	RES(type=for)	la	
cessation	RES(type=for)	cessation	
entière	RES(type=for)	entière	
et	RES(type=for)	et	
réciproque	RES(type=for)	réciproque	
des	RES(type=for)	des	
hostilités	RES(type=for)	hostilités	
est	RES(type=for)	est	
placée	RES(type=for)	placée	
sous	RES(type=for)	sous	
la	RES(type=for)	la	
garantie	RES(type=for)	garantie	
immédiate	RES(type=for)	immédiate	
des	RES(type=for)	des	
cinq	RES(type=for)	cinq	
puisssances	RES(type=for)	puissances	
,	PC		
qu'elles	RES(type=for)	qu'elles	
n'en	RES(type=for)	n'en	
admetteront	RES(type=for)	admetteront	
le	RES(type=for)	le	
renouvellement	RES(type=for)	renouvellement	
dans	RES(type=for)	dans	
aucune	RES(type=for)	aucune	
supposition	RES(type=for)	supposition	
,	PC		
et	RES(type=for)	et	
qu'elles	RES(type=for)	qu'elles	
ont	RES(type=for)	ont	
pris	RES(type=for)	pris	
la	RES(type=for)	la	
détermination	RES(type=for)	détermination	
immuable	RES(type=for)	immuable	
d'obtinir	RES(type=for)	d'obtinir	
l'accomplissement	RES(type=for)	l'accomplissement	
des	RES(type=for)	des	
décisions	RES(type=for)	décisions	
,	PC		
que	RES(type=for)	que	
leur	RES(type=for)	leur	
dicte	RES(type=for)	dicte	
la	RES(type=for)	la	
justice	RES(type=for)	justice	
et	RES(type=for)	et	
leur	RES(type=for)	leur	
désir	RES(type=for)	désir	

de	RES(type=for)	de	
conserver	RES(type=for)	conserver	
à	RES(type=for)	à	
l'Europe	RES(type=for)	l'Europe	
le	RES(type=for)	le	
bienfait	RES(type=for)	bienfait	
de	RES(type=for)	de	
la	RES(type=for)	la	
paix	RES(type=for)	paix	
générale	RES(type=for)	générale	
.	PC		
(	PC		
Signe	RES(type=for)	signe	
)	PC		
Esterhacy	NOU-P	Esterhacy	
,	PC		
Palmerston	NOU-P	Palmerston	
,	PC		
Wessenberg	NOU-P	Wessenberg	
,	PC		
Tallejrand	NOU-P	Talleyrand	
,	PC		
Bulow	NOU-P	Bulow	
,	PC		
Maluscheniu	NOU-P	Maluscheniu	
,	PC		
Het	PD(type=d-p,subtype=art,position=prenom)	het	
antwoord	NOU-C(number=sg)	antwoord	
dezerzijds	ADV(type=reg)	dezerzijds	
op	ADP(type=pre)	op	
dit	PD(type=d-p,subtype=oth,position=prenom)	dit	
protocol	NOU-C(number=sg)	protocol	
,	PC		
zal	VRB(finiteness=fin,tense=pres)	zullen	
in	ADP(type=pre)	in	
de	PD(type=d-p,subtype=art,position=prenom)	de	
eerste	NUM(type=ord,position=prenom,representation=let)	eerste	
dagen	NOU-C(number=pl)	dag	
der	PD(type=d-p,subtype=art,position=prenom)	de	
volgende	AA(degree=pos,position=prenom)	volgend	
week	NOU-C(number=sg)	week	
aan	ADP(type=pre)	aan	
UEd	PD(type=pers,position=free)+NOU-C(number=pl,WF=abbr)	u+edelmogende	mw_826766
.	PC		
Mogenden	PD(type=pers,position=free)+NOU-C(number=pl,WF=abbr)	u+edelmogende	mw_826766
worden	VRB(finiteness=inf)	worden	
medegedeeld	VRB(finiteness=pastpart)	mededelen	
.	PC		
De	PD(type=d-p,subtype=art,position=prenom)	de	
verklaring	NOU-C(number=sg)	verklaring	

,	PC		
dat	CONJ(type=sub)	dat	
de	PD(type=d-p,subtype=art,position=prenom)	de	
handhaving	NOU-C(number=sg)	handhaving	
van	ADP(type=pre)	van	
een	PD(type=indef,subtype=art,position=prenom)	een	
regt	NOU-C(number=sg)	recht	
van	ADP(type=pre)	van	
Noord-Nederland	NOU-P	Noord-Nederland	
voor	ADP(type=pre)	voor	
eene	PD(type=indef,subtype=art,position=prenom)	een	
daad	NOU-C(number=sg)	daad	
van	ADP(type=pre)	van	
vijandelijkheid	NOU-C(number=sg)	vijandelijkheid	
zou	VRB(finiteness=fin,tense=past)	zullen	
gehouden	VRB(finiteness=pastpart)	houden	
worden	VRB(finiteness=inf)	worden	
,	PC		
en	CONJ(type=coor)	en	
dat	CONJ(type=sub)	dat	
men	PD(type=pers,position=free)	men	
zich	PD(type=refl,position=free)	zich	
tegen	ADP(type=pre)	tegen	
die	PD(type=d-p,subtype=oth,position=prenom)	die	
handhaving	NOU-C(number=sg)	handhaving	
zou	VRB(finiteness=fin,tense=past)	zullen	
verzetten	VRB(finiteness=inf)	verzetten	
,	PC		
had	VRB(finiteness=fin,tense=past)	hebben	
reeds	ADV(type=reg)	reeds	
aan	ADP(type=pre)	aan	
de	PD(type=d-p,subtype=art,position=prenom)	de	
zaak	NOU-C(number=sg)	zaak	
een	PD(type=indef,subtype=art,position=prenom)	een	
hoog	AA(degree=pos,position=prenom)	hoog	
ernstig	AA(degree=pos,position=prenom)	ernstig	
aanzien	NOU-C(number=sg)	aanzien	
gegeven	VRB(finiteness=pastpart)	geven	
.	PC		
Sedert	ADV(type=reg)	sedert	
,	PC		
en	CONJ(type=coor)	en	
meer	ADV(type=reg)	meer	
bijzonder	AA(degree=pos,position=free)	bijzonder	
sedert	ADP(type=pre)	sedert	
eergisteren	ADV(type=reg)	eergisteren	
,	PC		
is	VRB(finiteness=fin,tense=pres)	zijn	
de	PD(type=d-p,subtype=art,position=prenom)	de	
